module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
bmm,anytime,Document Project,DP,,skill:bmad-document-project,bmad-bmm-document-project,false,analyst,Create Mode,"Analyze an existing project to produce useful documentation",project-knowledge,*,
bmm,anytime,Generate Project Context,GPC,,skill:bmad-generate-project-context,bmad-bmm-generate-project-context,false,analyst,Create Mode,"Scan existing codebase to generate a lean LLM-optimized project-context.md containing critical implementation rules patterns and conventions for AI agents. Essential for brownfield projects and quick-flow.",output_folder,"project context",
bmm,anytime,Quick Spec,QS,,skill:bmad-quick-spec,bmad-bmm-quick-spec,false,quick-flow-solo-dev,Create Mode,"Do not suggest for potentially very complex things unless requested or if the user complains that they do not want to follow the extensive planning of the bmad method. Quick one-off tasks small changes simple apps brownfield additions to well established patterns utilities without extensive planning",planning_artifacts,"tech spec",
bmm,anytime,Quick Dev,QD,,skill:bmad-quick-dev,bmad-bmm-quick-dev,false,quick-flow-solo-dev,Create Mode,"Quick one-off tasks small changes simple apps utilities without extensive planning - Do not suggest for potentially very complex things unless requested or if the user complains that they do not want to follow the extensive planning of the bmad method, unless the user is already working through the implementation phase and just requests a 1 off things not already in the plan",,,
bmm,anytime,Quick Dev New Preview,QQ,,skill:bmad-quick-dev-new-preview,bmad-bmm-quick-dev-new-preview,false,quick-flow-solo-dev,Create Mode,"Unified quick flow (experimental): clarify intent plan implement review and present in a single workflow",implementation_artifacts,"tech spec implementation",
bmm,anytime,Correct Course,CC,,skill:bmad-correct-course,bmad-bmm-correct-course,false,sm,Create Mode,"Anytime: Navigate significant changes. May recommend start over update PRD redo architecture sprint planning or correct epics and stories",planning_artifacts,"change proposal",
bmm,anytime,Write Document,WD,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Describe in detail what you want, and the agent will follow the documentation best practices defined in agent memory. Multi-turn conversation with subprocess for research/review.",project-knowledge,"document",
bmm,anytime,Update Standards,US,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Update agent memory documentation-standards.md with your specific preferences if you discover missing document conventions.",_bmad/_memory/tech-writer-sidecar,"standards",
bmm,anytime,Mermaid Generate,MG,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Create a Mermaid diagram based on user description. Will suggest diagram types if not specified.",planning_artifacts,"mermaid diagram",
bmm,anytime,Validate Document,VD,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Review the specified document against documentation standards and best practices. Returns specific actionable improvement suggestions organized by priority.",planning_artifacts,"validation report",
bmm,anytime,Explain Concept,EC,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Create clear technical explanations with examples and diagrams for complex concepts. Breaks down into digestible sections using task-oriented approach.",project_knowledge,"explanation",
bmm,1-analysis,Brainstorm Project,BP,10,skill:bmad-brainstorming,bmad-brainstorming,false,analyst,data=_bmad/bmm/data/project-context-template.md,"Expert Guided Facilitation through a single or multiple techniques",planning_artifacts,"brainstorming session",
bmm,1-analysis,Market Research,MR,20,skill:bmad-market-research,bmad-bmm-market-research,false,analyst,Create Mode,"Market analysis competitive landscape customer needs and trends","planning_artifacts|project-knowledge","research documents",
bmm,1-analysis,Domain Research,DR,21,skill:bmad-domain-research,bmad-bmm-domain-research,false,analyst,Create Mode,"Industry domain deep dive subject matter expertise and terminology","planning_artifacts|project_knowledge","research documents",
bmm,1-analysis,Technical Research,TR,22,skill:bmad-technical-research,bmad-bmm-technical-research,false,analyst,Create Mode,"Technical feasibility architecture options and implementation approaches","planning_artifacts|project_knowledge","research documents",
bmm,1-analysis,Create Brief,CB,30,skill:bmad-create-product-brief,bmad-bmm-create-product-brief,false,analyst,Create Mode,"A guided experience to nail down your product idea",planning_artifacts,"product brief",
bmm,2-planning,Create PRD,CP,10,skill:bmad-create-prd,bmad-bmm-create-prd,true,pm,Create Mode,"Expert led facilitation to produce your Product Requirements Document",planning_artifacts,prd,
bmm,2-planning,Validate PRD,VP,20,skill:bmad-validate-prd,bmad-bmm-validate-prd,false,pm,Validate Mode,"Validate PRD is comprehensive lean well organized and cohesive",planning_artifacts,"prd validation report",
bmm,2-planning,Edit PRD,EP,25,skill:bmad-edit-prd,bmad-bmm-edit-prd,false,pm,Edit Mode,"Improve and enhance an existing PRD",planning_artifacts,"updated prd",
bmm,2-planning,Create UX,CU,30,skill:bmad-create-ux-design,bmad-bmm-create-ux-design,false,ux-designer,Create Mode,"Guidance through realizing the plan for your UX, strongly recommended if a UI is a primary piece of the proposed project",planning_artifacts,"ux design",
bmm,3-solutioning,Create Architecture,CA,10,skill:bmad-create-architecture,bmad-bmm-create-architecture,true,architect,Create Mode,"Guided Workflow to document technical decisions",planning_artifacts,architecture,
bmm,3-solutioning,Create Epics and Stories,CE,30,skill:bmad-create-epics-and-stories,bmad-bmm-create-epics-and-stories,true,pm,Create Mode,"Create the Epics and Stories Listing",planning_artifacts,"epics and stories",
bmm,3-solutioning,Check Implementation Readiness,IR,70,skill:bmad-check-implementation-readiness,bmad-bmm-check-implementation-readiness,true,architect,Validate Mode,"Ensure PRD UX Architecture and Epics Stories are aligned",planning_artifacts,"readiness report",
bmm,4-implementation,Sprint Planning,SP,10,skill:bmad-sprint-planning,bmad-bmm-sprint-planning,true,sm,Create Mode,"Generate sprint plan for development tasks - this kicks off the implementation phase by producing a plan the implementation agents will follow in sequence for every story in the plan.",implementation_artifacts,"sprint status",
bmm,4-implementation,Sprint Status,SS,20,skill:bmad-sprint-status,bmad-bmm-sprint-status,false,sm,Create Mode,"Anytime: Summarize sprint status and route to next workflow",,,
bmm,4-implementation,Validate Story,VS,35,skill:bmad-create-story,bmad-bmm-create-story,false,sm,Validate Mode,"Validates story readiness and completeness before development work begins",implementation_artifacts,"story validation report",
bmm,4-implementation,Create Story,CS,30,skill:bmad-create-story,bmad-bmm-create-story,true,sm,Create Mode,"Story cycle start: Prepare first found story in the sprint plan that is next, or if the command is run with a specific epic and story designation with context. Once complete, then VS then DS then CR then back to DS if needed or next CS or ER",implementation_artifacts,story,
bmm,4-implementation,Dev Story,DS,40,skill:bmad-dev-story,bmad-bmm-dev-story,true,dev,Create Mode,"Story cycle: Execute story implementation tasks and tests then CR then back to DS if fixes needed",,,
bmm,4-implementation,Code Review,CR,50,skill:bmad-code-review,bmad-bmm-code-review,false,dev,Create Mode,"Story cycle: If issues back to DS if approved then next CS or ER if epic complete",,,
bmm,4-implementation,QA Automation Test,QA,45,skill:bmad-qa-generate-e2e-tests,bmad-bmm-qa-automate,false,qa,Create Mode,"Generate automated API and E2E tests for implemented code using the project's existing test framework (detects existing well known in use test frameworks). Use after implementation to add test coverage. NOT for code review or story validation - use CR for that.",implementation_artifacts,"test suite",
bmm,4-implementation,Retrospective,ER,60,skill:bmad-retrospective,bmad-bmm-retrospective,false,sm,Create Mode,"Optional at epic end: Review completed work lessons learned and next epic or if major issues consider CC",implementation_artifacts,retrospective,
cis,anytime,Innovation Strategy,IS,,skill:bmad-cis-innovation-strategy,bmad-cis-innovation-strategy,false,analyst,Create Mode,"Identify disruption opportunities and architect business model innovation",output_folder,innovation strategy,
cis,anytime,Problem Solving,PS,,skill:bmad-cis-problem-solving,bmad-cis-problem-solving,false,analyst,Create Mode,"Apply systematic problem-solving methodologies to crack complex challenges",output_folder,problem solution,
cis,anytime,Design Thinking,DT,,skill:bmad-cis-design-thinking,bmad-cis-design-thinking,false,analyst,Create Mode,"Guide human-centered design processes using empathy-driven methodologies",output_folder,design thinking,
cis,anytime,Brainstorming (CIS),BS,,skill:bmad-brainstorming,bmad-cis-brainstorming,false,analyst,Create Mode,"Facilitate brainstorming sessions using one or more techniques",output_folder,brainstorming session results,
cis,anytime,Storytelling,ST,,skill:bmad-cis-storytelling,bmad-cis-storytelling,false,analyst,Create Mode,"Craft compelling narratives using proven story frameworks and techniques",output_folder,narrative/story,
tea,0-learning,Teach Me Testing,TMT,,skill:bmad-teach-me-testing,bmad-tea-teach-me-testing,false,tea,Create Mode,"Teach testing fundamentals through 7 sessions (TEA Academy)",test_artifacts,"progress file|session notes|certificate",
tea,3-solutioning,Test Design,TD,,skill:bmad-testarch-test-design,bmad-tea-test-design,false,tea,Create Mode,"Risk-based test planning",test_artifacts,test design document,
tea,3-solutioning,Test Framework,TF,,skill:bmad-testarch-framework,bmad-tea-framework,false,tea,Create Mode,"Initialize production-ready test framework",test_artifacts,framework scaffold,
tea,3-solutioning,CI Setup,CI,,skill:bmad-testarch-ci,bmad-tea-ci,false,tea,Create Mode,"Configure CI/CD quality pipeline",test_artifacts,ci config,
tea,4-implementation,ATDD,AT,,skill:bmad-testarch-atdd,bmad-tea-atdd,false,tea,Create Mode,"Generate failing tests (TDD red phase)",test_artifacts,atdd tests,
tea,4-implementation,Test Automation,TA,,skill:bmad-testarch-automate,bmad-tea-automate,false,tea,Create Mode,"Expand test coverage",test_artifacts,test suite,
tea,4-implementation,Test Review,RV,,skill:bmad-testarch-test-review,bmad-tea-review,false,tea,Create Mode,"Quality audit (0-100 scoring)",test_artifacts,review report,
tea,4-implementation,NFR Assessment,NR,,skill:bmad-testarch-nfr,bmad-tea-nfr,false,tea,Create Mode,"Non-functional requirements assessment",test_artifacts,nfr report,
tea,4-implementation,Traceability,TR,,skill:bmad-testarch-trace,bmad-tea-trace,false,tea,Create Mode,"Coverage traceability and gate",test_artifacts,"traceability matrix|gate decision",
wds,0-wds-agents,Wake Saga,SAGA,,skill:bmad-wds-saga,bmad-wds-saga,false,saga,Create Mode,"Strategic Analyst agent for Phases 1-2",,,
wds,0-wds-agents,Wake Freya,FREYA,,skill:bmad-wds-freya,bmad-wds-freya,false,freya,Create Mode,"UX Designer agent for Phases 3-4",,,
wds,1-wds-strategy,Project Brief (WDS),PB,,skill:bmad-wds-project-brief,bmad-wds-project-brief,true,saga,Create Mode,"Define product vision positioning and success criteria",design_artifacts/A-Product-Brief,project-brief.md,
wds,1-wds-strategy,Trigger Mapping,TM,,skill:bmad-wds-trigger-mapping,bmad-wds-trigger-mapping,true,saga,Create Mode,"Map business goals to user psychology and create personas",design_artifacts/B-Trigger-Map,"trigger-map.md personas/ feature-impact-analysis.md",
wds,2-wds-design,Outline Scenarios,OS,,skill:bmad-wds-outline-scenarios,bmad-wds-outline-scenarios,true,freya,Create Mode,"Define user journeys as persona+goal+outcome",design_artifacts/C-UX-Scenarios,scenario-overview.md,
wds,2-wds-design,Conceptual Specs,SP,,skill:bmad-wds-conceptual-specs,bmad-wds-conceptual-specs,true,freya,Create Mode,"Document every design decision for every element on every page",design_artifacts/C-UX-Scenarios,"page-specs scenario-specs",
wds,2-wds-design,Design System (WDS),DS,,skill:bmad-wds-design-system,bmad-wds-design-system,false,freya,Create Mode,"Manage component library and design tokens",design_artifacts/D-Design-System,"components/ design-tokens.md",
wds,2-wds-design,Design Delivery,DD,,skill:bmad-wds-design-delivery,bmad-wds-design-delivery,true,freya,Create Mode,"Validate specs and package as DD yaml files for dev handoff",design_artifacts/E-PRD/Design-Deliveries,"delivery-package acceptance-criteria",
wds,3-wds-build,Agentic Development,AD,,skill:bmad-wds-agentic-development,bmad-wds-agentic-development,false,freya,Create Mode,"Iterative build-verify cycle with design log tracking",_progress/agent-experiences,experience-documents,
wds,3-wds-build,Acceptance Testing,UAT,,skill:bmad-wds-usability-testing,bmad-wds-usability-testing,false,freya,Create Mode,"Test on real users with retrospective think-aloud sessions",design_artifacts/F-Testing,"test-results findings",
